lsoa_code,IMDScore
E01001420,26.371
E01001421,26.74
E01001422,7.863
E01001423,31.815
E01001424,45.659
E01001425,48.205
E01001426,41.035
E01001427,42.558
E01001428,38.085
E01001429,46.391
E01001430,42.061
E01001431,43.347
E01001432,39.635
E01001433,36.086
E01001434,28.191
E01001435,26.237
E01001436,28.56
E01001437,38.766
E01001438,34.949
E01001439,35.255
E01001440,30.551
E01001441,37.103
E01001442,44.482
E01001444,22.75
E01001445,29.846
E01001446,27.924
E01001447,42.79
E01001448,30.162
E01001449,29.422
E01001450,21.426
E01001451,16.806
E01001452,11.358
E01001453,6.185
E01001454,9.141
E01001455,11.174
E01001456,5.686
E01001457,13.891
E01001458,40.254
E01001459,23.802
E01001460,38.272
E01001461,40.049
E01001462,35.063
E01001463,22.651
E01001464,38.337
E01001465,24.442
E01001466,28.341
E01001467,26.454
E01001468,29.819
E01001469,23.277
E01001470,10.556
E01001471,17.36
E01001472,13.774
E01001473,15.973
E01001474,13.064
E01001475,7.273
E01001476,28.029
E01001477,34.984
E01001478,25.908
E01001479,33.274
E01001480,30.603
E01001481,26.529
E01001482,38.527
E01001483,53.716
E01001484,24.503
E01001485,37.13
E01001486,41.507
E01001487,35.047
E01001488,30.484
E01001489,30.915
E01001491,32.824
E01001492,32.044
E01001493,29.242
E01001494,15.474
E01001495,12.544
E01001496,14.271
E01001497,23.466
E01001498,17.405
E01001499,24.023
E01001500,19.827
E01001501,26.291
E01001502,31.213
E01001503,28.155
E01001504,30.29
E01001505,33.573
E01001506,38.67
E01001507,40.471
E01001508,31.854
E01001509,34.342
E01001510,47.177
E01001511,21.859
E01001512,18.403
E01001513,33.421
E01001514,21.731
E01001515,37.118
E01001516,28.911
E01001517,48.739
E01001518,22.402
E01001519,13.242
E01001520,17.439
E01001521,8.942
E01001522,14.078
E01001523,8.803
E01001524,21.144
E01001525,16.784
E01001526,10.158
E01001527,15.807
E01001528,34.923
E01001529,32.233
E01001530,20.501
E01001531,8.429
E01001532,8.506
E01001533,7.078
E01001534,11.197
E01001535,14.357
E01001536,18.752
E01001537,11.559
E01001538,11.124
E01001539,15.185
E01001540,14.261
E01001541,9.711
E01001542,18.608
E01001543,9.625
E01001544,9.567
E01001545,45.483
E01001546,27.925
E01001547,29.152
E01001548,32.093
E01001549,42.876
E01001550,36.024
E01001551,42.143
E01001552,26.37
E01001553,38.285
E01001554,42.024
E01001555,34.676
E01001556,19.27
E01001557,30.164
E01001558,39.726
E01001559,41.09
E01001560,34.488
E01001562,46.641
E01001563,16.576
E01001564,10.265
E01001565,16.271
E01001566,13.927
E01001567,6.287
E01001568,9.832
